dataset,pred_len,method,mse,mse_std,n_windows
Exchange,96,baseline,0.0012921704867039808,0.0012331010846317713,10
Exchange,96,dense_bw2,0.0011065336831961759,0.0013163835455639423,10
Exchange,96,rcaf,0.0012965779911610297,0.0013353964339044547,10
Exchange,96,rcaf_cgpf_only,0.0012188821769086645,0.001250544342786989,10
Exchange,96,rcaf_crc_only,0.0013716807487071491,0.0013354244537543039,10
Exchange,192,baseline,0.00225559858372435,0.0025783098870133104,5
Exchange,192,dense_bw2,0.0024569687724579127,0.0031326549316152024,5
Exchange,192,rcaf,0.0022469594492577015,0.002766165808225983,5
Exchange,192,rcaf_cgpf_only,0.0022026271966751666,0.002622399412993106,5
Exchange,192,rcaf_crc_only,0.002294388262089342,0.0027529407771080443,5
Exchange,336,baseline,0.005201627733185887,0.00047438335604965687,2
Exchange,336,dense_bw2,0.004752344219014049,0.00047625950537621975,2
Exchange,336,rcaf,0.005043691257014871,0.000421763164922595,2
Exchange,336,rcaf_cgpf_only,0.004897914594039321,0.00017223204486072063,2
Exchange,336,rcaf_crc_only,0.005320283584296703,0.0007116864435374737,2
Exchange,720,baseline,0.01853949762880802,0.0,1
Exchange,720,dense_bw2,0.017535025253891945,0.0,1
Exchange,720,rcaf,0.018154671415686607,0.0,1
Exchange,720,rcaf_cgpf_only,0.018255343660712242,0.0,1
Exchange,720,rcaf_crc_only,0.01837410219013691,0.0,1
ILI,24,baseline,,,0
ILI,24,dense_bw2,,,0
ILI,24,rcaf,,,0
ILI,24,rcaf_cgpf_only,,,0
ILI,24,rcaf_crc_only,,,0
ILI,36,baseline,,,0
ILI,36,dense_bw2,,,0
ILI,36,rcaf,,,0
ILI,36,rcaf_cgpf_only,,,0
ILI,36,rcaf_crc_only,,,0
ILI,48,baseline,,,0
ILI,48,dense_bw2,,,0
ILI,48,rcaf,,,0
ILI,48,rcaf_cgpf_only,,,0
ILI,48,rcaf_crc_only,,,0
ILI,60,baseline,,,0
ILI,60,dense_bw2,,,0
ILI,60,rcaf,,,0
ILI,60,rcaf_cgpf_only,,,0
ILI,60,rcaf_crc_only,,,0
