dataset,sweep,param,improvement
ETTm2,alpha,0.1,3.8339869698275595
ETTm2,alpha,0.2,4.190974785516087
ETTm2,alpha,0.35,4.649802018792967
ETTm2,alpha,0.5,5.016649166243256
ETTm2,alpha,0.7,5.362692576823099
ETTm2,beta,0.1,2.772250413269133
ETTm2,beta,0.2,4.083633297144109
ETTm2,beta,0.25,4.649802018792967
ETTm2,beta,0.35,5.603096955359463
ETTm2,beta,0.5,6.585424165120597
ETTm2,k,3.0,4.868620925788323
ETTm2,k,5.0,3.8462422270163668
ETTm2,k,7.0,4.649802018792967
ETTm2,k,10.0,4.201404823607005
Weather,alpha,0.1,7.338688378605894
Weather,alpha,0.2,7.791637517876894
Weather,alpha,0.35,8.325693001080465
Weather,alpha,0.5,8.685309495153529
Weather,alpha,0.7,8.893441518868157
Weather,beta,0.1,4.6368406995459175
Weather,beta,0.2,7.191189481736932
Weather,beta,0.25,8.325693001080465
Weather,beta,0.35,10.309365539679579
Weather,beta,0.5,12.571546087195534
Weather,k,3.0,8.400015657717995
Weather,k,5.0,8.402004342853706
Weather,k,7.0,8.325693001080465
Weather,k,10.0,9.433440277627588
ECL,alpha,0.1,2.817465467305893
ECL,alpha,0.2,2.9131651759057235
ECL,alpha,0.35,2.9525987391131254
ECL,alpha,0.5,2.8670922982397946
ECL,alpha,0.7,2.5587306344034135
ECL,beta,0.1,2.371493989211431
ECL,beta,0.2,3.107121817150981
ECL,beta,0.25,2.9525987391131254
ECL,beta,0.35,1.5988880434218768
ECL,beta,0.5,-3.043366538772327
ECL,k,3.0,0.8659310877958111
ECL,k,5.0,3.766522317139441
ECL,k,7.0,2.9525987391131254
ECL,k,10.0,2.599380080285218
