dataset,pred_len,retrieved,random,gap
ETTm2,96,8.06855744866033,10.035241806139043,-1.9666843574787123
ETTm2,192,5.362575583012596,11.172135718245292,-5.8095601352326955
ETTm2,336,6.321417869821716,6.784145287871173,-0.4627274180494565
ETTh1,96,6.551126819557669,10.463103179706756,-3.9119763601490876
ETTh1,192,10.533845865999195,15.094210162368066,-4.560364296368871
ETTh1,336,6.675259481885444,13.568162548283214,-6.8929030663977695
Weather,96,5.245584850438638,0.12426451053737611,5.121320339901262
Weather,192,10.85979224909386,8.274320004662803,2.585472244431058
Weather,336,6.427436361237032,8.202007440957997,-1.7745710797209648
ETTm1,96,3.1172820964230414,7.4050083087464165,-4.287726212323375
ETTm1,192,4.283069209526453,0.9287276088094124,3.354341600717041
ETTm1,336,1.24909836499403,5.1555890051870925,-3.906490640193063
ETTh2,96,1.183828315641021,4.332627544651569,-3.1487992290105478
ETTh2,192,1.4241503382641278,5.935226880900241,-4.511076542636113
ETTh2,336,-0.2383330803531673,6.362080036672587,-6.600413117025755
